lineage,time_bin,pi,n_samples
AY.121,2021-12-06/2021-12-12,0.0005718309018981,75
AY.121,2021-12-13/2021-12-19,0.0005995408546111,76
AY.121,2021-12-20/2021-12-26,0.0006352239588274,50
AY.121,2021-12-27/2022-01-02,0.0005860386214227,44
AY.121,2022-01-03/2022-01-09,0.0006405154443812,25
AY.121,2022-01-10/2022-01-16,0.0006636272094587,10
AY.122,2021-07-05/2021-07-11,0.0003563035633396,11
AY.122,2021-07-12/2021-07-18,0.0004971340957696,22
AY.122,2021-07-19/2021-07-25,0.0003835854506646,23
AY.122,2021-07-26/2021-08-01,0.0004729015975182,35
AY.122,2021-08-02/2021-08-08,0.0004765311052387,42
AY.122,2021-08-09/2021-08-15,0.0005186108882177,34
AY.122,2021-08-16/2021-08-22,0.0005511008892911,31
AY.122,2021-08-23/2021-08-29,0.0005540666143281,36
AY.122,2021-08-30/2021-09-05,0.0005593353995121,32
AY.122,2021-09-06/2021-09-12,0.0005691106558548,24
AY.122,2021-09-13/2021-09-19,0.0005213738847223,19
AY.122,2021-09-20/2021-09-26,0.0006476496226688,16
AY.122,2021-09-27/2021-10-03,0.0006615808190324,29
AY.122,2021-10-04/2021-10-10,0.0006236036199585,21
AY.122,2021-10-11/2021-10-17,0.0006173342115351,24
AY.122,2021-10-18/2021-10-24,0.0006133947210093,37
AY.122,2021-10-25/2021-10-31,0.0007044186316857,43
AY.122,2021-11-01/2021-11-07,0.0006555575445574,51
AY.122,2021-11-08/2021-11-14,0.0007112146266392,51
AY.122,2021-11-15/2021-11-21,0.0007470696131327,53
AY.122,2021-11-22/2021-11-28,0.0007889963681232,57
